Role,Name,Creativity & Innovation,Adapability & Felbility,Problem Solving Skills,Empathy & User Centric Focus,Iterative Mindset,Leadership Influence,Critical Thinking,Continous Learning,Resourcefulness
Prompt Engineer,Gregory Nielsen,5,5,2,4,4,2,3,4,5
Prompt Engineer,Jean Lam,4,5,3,4,4,3,4,3,4
Prompt Engineer,Linda Washington,5,5,3,4,5,4,4,4,5
Prompt Engineer,Mr. David Santana Jr.,3,3,2,5,5,3,4,5,3
Prompt Engineer,Lydia Reed,3,4,3,4,4,3,3,4,4
Design Thinker,Bonnie Pennington,4,5,4,4,2,5,5,3,4
Design Thinker,Richard Roberts,5,3,3,5,3,3,5,3,4
Design Thinker,Andre Stokes,5,3,3,5,3,5,3,3,4
Design Thinker,Jerry Walker,5,4,3,5,3,5,3,3,5
Design Thinker,Gail Cooper,5,4,3,5,3,4,5,5,5
Design Thinker,Timothy Gross,5,5,3,5,3,5,5,5,4
Design Thinker,Sarah Pruitt,5,5,3,4,2,3,3,4,5
Design Thinker,Robert Lewis,5,5,4,5,4,4,3,3,4
Design Thinker,Jordan Lambert,5,3,4,4,3,3,4,3,4
Design Thinker,Elizabeth Sanchez,5,3,3,5,3,5,5,4,4
Design Thinker,Paula Wilkerson,5,4,4,4,4,4,4,5,4
Design Thinker,Brent Jenkins,5,3,3,4,2,5,4,3,4
Design Thinker,Kurt Townsend,4,5,4,4,3,5,5,3,4
Design Thinker,Robert Rivera,5,4,4,5,2,5,5,3,5
Design Thinker,Jennifer Baker,4,3,3,5,2,3,4,4,4
Design Thinker,Christina Grimes,4,5,3,5,3,5,5,5,4
Design Thinker,Mr. Kyle Turner,5,5,3,5,3,4,5,3,5
Design Thinker,Brandi Barry,4,3,4,4,4,5,5,5,4
Design Thinker,Julie Gonzalez,4,4,4,4,3,5,4,4,4
Design Thinker,Stephen Rodriguez,4,5,4,5,3,3,5,5,5
Design Thinker,Nicholas Frank,4,4,4,4,3,5,4,5,5
Design Thinker,John Brown,4,4,4,4,2,4,4,4,5
Design Thinker,Amber Burnett,4,3,4,4,4,5,5,4,4
Design Thinker,Kevin Thomas,4,4,3,5,3,3,3,4,5
Design Thinker,Joseph Henderson,4,5,4,5,4,5,5,3,4
Design Thinker,Douglas Williams,5,5,4,5,4,3,3,5,5
Design Thinker,Hunter Arnold,4,3,3,5,3,5,3,4,5
Design Thinker,Tony Thomas,5,3,4,5,2,4,5,4,5
Design Thinker,Deborah Mann,5,4,3,4,4,3,4,4,4
Design Thinker,Sabrina Alexander,5,4,4,4,2,4,3,3,5
Design Thinker,Cynthia Price,5,4,3,5,3,5,4,4,4
Design Thinker,Kevin Baxter,4,4,3,5,3,3,5,3,5
Design Thinker,George Spencer,4,5,4,4,2,3,4,5,5
Design Thinker,Tommy Baker,4,3,3,5,2,3,5,3,4
Design Thinker,Christopher Hunt Jr.,5,5,4,5,2,5,3,4,5
Design Thinker,Angela Carr,4,4,3,4,3,3,3,4,5
Design Thinker,Renee Foster,4,5,4,4,4,5,4,5,5
Design Thinker,Christopher Rodriguez,4,3,3,5,2,3,5,4,5
Design Thinker,Patricia Lawson,5,4,4,5,4,5,3,3,4
Design Thinker,Kathryn Choi,5,4,4,4,3,3,3,3,5
Design Thinker,Patrick Byrd,5,4,3,5,2,3,4,4,5
Design Thinker,Lance Shaffer,5,3,4,4,3,5,4,5,5
Design Thinker,Dakota Davies,5,5,4,4,4,5,4,4,5
Design Thinker,Timothy Hartman,5,3,3,5,4,3,3,5,4
Design Thinker,Patrick Bailey,5,3,4,4,4,4,4,4,4
Design Thinker,Lauren Moore,5,3,4,5,4,5,4,5,4
Design Thinker,Aaron Vaughn,5,3,3,5,3,5,5,3,4
Design Thinker,Misty Jones,5,4,3,5,3,3,5,3,4
Design Thinker,Andrew Bartlett,4,5,3,4,4,5,3,4,5
Design Thinker,Christopher Jones,4,3,3,5,4,4,3,4,4
Design Thinker,Kylie Taylor,4,5,3,4,2,4,3,3,4
Design Thinker,Hailey Sanchez,4,5,3,5,2,5,5,3,5
Design Thinker,Michele Munoz,4,4,4,5,2,4,5,3,5
Design Thinker,Sara Petersen,5,4,4,4,4,4,4,5,5
Design Thinker,William Hill,4,4,3,4,4,4,4,4,4
Design Thinker,Kayla Roach,5,5,3,4,2,3,3,4,4
Design Thinker,James Rogers,4,3,4,4,2,4,3,3,5
Design Thinker,Kevin Moore,5,4,4,4,4,4,4,3,5
Design Thinker,Amber Benson,5,5,4,5,4,5,4,3,5
Design Thinker,Jennifer Johnson,5,4,3,5,4,4,4,4,5
Design Thinker,Paul Munoz,4,5,3,4,2,5,4,5,5
Design Thinker,Terri Rasmussen,4,5,3,5,2,4,4,4,4
Design Thinker,Joshua Johnson,5,4,3,4,3,3,4,3,5
Design Thinker,Stephen Robinson,4,3,3,5,4,4,4,5,4
Design Thinker,Kelly Vasquez,4,3,3,5,3,5,4,5,4
Design Thinker,Samantha Thomas,4,3,3,4,3,5,5,5,5
Design Thinker,Jasmine Wilkins,4,4,3,5,2,5,4,5,5
Design Thinker,Devon Cooper,4,4,3,5,4,3,3,4,5
Design Thinker,Ryan Le,4,4,3,5,4,3,5,4,5
Design Thinker,William Carter,4,3,3,5,3,4,5,4,5
Design Thinker,Stephanie Carter,5,4,3,5,4,3,5,5,4
Design Thinker,Trevor Wilson DVM,4,3,3,5,3,4,5,3,5
Design Thinker,Randall Cannon,5,5,4,5,4,4,4,4,4
Design Thinker,Natalie Mcfarland,4,5,3,5,4,3,3,5,4
Design Thinker,Emily Downs,4,5,4,5,2,4,5,3,4
Design Thinker,Melanie Watts,5,3,4,4,2,4,3,5,5
Design Thinker,Evan Perez,5,5,4,4,2,4,3,5,4
Design Thinker,Tanya Wallace,4,3,3,4,4,4,4,3,4
Design Thinker,April Wells,4,5,3,5,4,5,5,4,4
Design Thinker,Christopher Willis,5,3,4,4,3,3,4,5,4
Design Thinker,Jonathan Hodges,5,4,4,4,3,4,4,5,4
Design Thinker,David Evans,4,5,3,5,3,4,4,4,5
Design Thinker,Charles Perez,5,5,3,5,3,3,5,5,5
Design Thinker,Kimberly Arroyo,4,4,3,5,4,4,5,3,5
Design Thinker,Kara Williams DVM,5,4,4,4,2,5,3,5,4
Design Thinker,Cindy Rodriguez,5,4,3,5,2,5,4,3,4
Design Thinker,Donna Dixon,4,3,4,5,4,5,3,3,5
Design Thinker,John James,4,3,3,4,2,3,3,3,5
Design Thinker,Bonnie Arroyo,4,3,4,4,4,5,5,3,5
Design Thinker,Jessica Smith,5,4,4,4,4,3,4,4,4
Design Thinker,Amy Rojas,5,3,3,4,4,5,3,5,5
Design Thinker,Justin Harris PhD,4,4,4,5,3,5,3,5,5
Design Thinker,Kelly Kaufman,4,5,4,5,2,5,4,4,4
Design Thinker,Patricia Griffin,5,4,3,4,4,4,3,3,5
Design Thinker,Joyce Flores,5,5,3,5,3,3,3,4,5
Design Thinker,Michael Ford,5,5,4,4,4,4,3,5,4
Design Thinker,Rebecca Mcdonald,5,4,3,4,2,5,5,5,5
Design Thinker,Crystal Montgomery,4,3,3,5,3,4,3,5,4
Design Thinker,Sean Humphrey,4,5,3,5,3,4,5,5,5
Design Thinker,David Brooks,5,3,4,5,3,4,4,4,4
